bodyPart,equipment,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
upper legs,body weight,3214_arms_apart_circular_toe_touch_male,arms apart circular toe touch (male),glutes,hamstrings,quadriceps,Stand with your feet shoulder-width apart and arms extended to the sides.,"Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand.","As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance.",Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you.,Continue alternating sides for the desired number of repetitions.,,calves,,,,,,,,
waist,body weight,3204_arms_overhead_full_sit_up_male,arms overhead full sit-up (male),abs,hip flexors,lower back,Lie flat on your back with your knees bent and feet flat on the ground.,"Extend your arms overhead, keeping them straight.","Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,leverage machine,0009_assisted_chest_dip_kneeling,assisted chest dip (kneeling),pectorals,triceps,shoulders,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with your palms facing down and your arms fully extended.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,"Pause for a moment, then push yourself back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,assisted,0011_assisted_hanging_knee_raise,assisted hanging knee raise,abs,hip flexors,,Hang from a pull-up bar with your arms fully extended and your palms facing away from you.,"Engage your core muscles and lift your knees towards your chest, bending at the hips and knees.","Pause for a moment at the top of the movement, squeezing your abs.",Slowly lower your legs back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
waist,assisted,0010_assisted_hanging_knee_raise_with_throw_down,assisted hanging knee raise with throw down,abs,hip flexors,lower back,Hang from a pull-up bar with your arms fully extended and your palms facing away from you.,"Engage your core and lift your knees towards your chest, keeping your legs together.","Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.",Allow your legs to swing back up and repeat the movement for the desired number of repetitions.,,,,,,,,,,,
lower legs,assisted,1708_assisted_lying_calves_stretch,assisted lying calves stretch,calves,hamstrings,,Lie on your back with your legs extended.,Bend one knee and place your foot flat on the ground.,"Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf.",Hold the stretch for 20-30 seconds.,Release the stretch and repeat on the other leg.,,,,,,,,,,
upper legs,assisted,1709_assisted_lying_glutes_stretch,assisted lying glutes stretch,glutes,hamstrings,,Lie on your back with your legs extended.,"Bend your right knee and place your right ankle on your left thigh, just above the knee.",Grasp your left thigh with both hands and gently pull it towards your chest.,Hold the stretch for 20-30 seconds.,Release and repeat on the other side.,,,,,,,,,,
upper legs,assisted,1710_assisted_lying_gluteus_and_piriformis_stretch,assisted lying gluteus and piriformis stretch,glutes,hamstrings,,Lie on your back with your legs extended.,"Bend your right knee and place your right ankle on your left thigh, just above the knee.",Grasp your left thigh with both hands and gently pull it towards your chest.,Hold the stretch for 20-30 seconds.,Release the stretch and repeat on the other side.,,,,,,,,,,
waist,assisted,0012_assisted_lying_leg_raise_with_lateral_throw_down,assisted lying leg raise with lateral throw down,abs,hip flexors,obliques,Lie flat on your back with your legs extended and your arms by your sides.,Place your hands under your glutes for support.,"Engage your abs and lift your legs off the ground, keeping them straight.","While keeping your legs together, lower them to one side until they are a few inches above the ground.","Pause for a moment, then lift your legs back to the starting position.",Repeat the movement to the other side.,,Continue alternating sides for the desired number of repetitions.,,,,,,,
waist,assisted,0013_assisted_lying_leg_raise_with_throw_down,assisted lying leg raise with throw down,abs,hip flexors,quadriceps,Lie flat on your back with your legs extended and your arms by your sides.,Place your hands under your glutes for support.,"Engage your core and lift your legs off the ground, keeping them straight.",Raise your legs until they are perpendicular to the ground.,Lower your legs back down to the starting position.,"Simultaneously, throw your legs down towards the ground, keeping them straight.",,Raise your legs back up to the starting position.,Repeat for the desired number of repetitions.,,,,,,
waist,medicine ball,0014_assisted_motion_russian_twist,assisted motion russian twist,abs,obliques,lower back,Sit on the ground with your knees bent and feet flat on the floor.,Hold the medicine ball with both hands in front of your chest.,"Lean back slightly, engaging your abs and keeping your back straight.","Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.","Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.",Continue alternating sides for the desired number of repetitions.,,,,,,,,,
back,leverage machine,0015_assisted_parallel_close_grip_pull_up,assisted parallel close grip pull-up,lats,biceps,forearms,Adjust the machine to your desired weight and height.,"Place your hands on the parallel bars with a close grip, palms facing each other.",Hang from the bars with your arms fully extended and your feet off the ground.,"Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.",Continue pulling until your chin is above the bars.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper legs,assisted,0016_assisted_prone_hamstring,assisted prone hamstring,hamstrings,glutes,lower back,Lie face down on a mat or bench with your legs fully extended.,Have a partner or use a resistance band to secure your ankles.,"Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.","Pause for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,assisted,1713_assisted_prone_lying_quads_stretch,assisted prone lying quads stretch,quads,hamstrings,glutes,Lie face down on the ground with your legs extended.,Bend your left knee and reach back with your left hand to grab your left foot or ankle.,"Gently pull your left foot towards your glutes, feeling a stretch in your left quad.","Hold the stretch for 20-30 seconds, then release.",Repeat with your right leg.,,,,,,,,,,
waist,assisted,1714_assisted_prone_rectus_femoris_stretch,assisted prone rectus femoris stretch,abs,quadriceps,,Lie face down on the ground with your legs straight.,Bend your right knee and reach back with your right hand to grab your right foot or ankle.,"Gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh.",Hold the stretch for 20-30 seconds.,Release and repeat on the other side.,,,,,,,,,,
back,leverage machine,0017_assisted_pull_up,assisted pull-up,lats,biceps,forearms,Adjust the machine to your desired weight and height settings.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.",Hang with your arms fully extended and your feet off the ground.,"Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.",Continue pulling until your chin is above the handles.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
chest,assisted,1716_assisted_seated_pectoralis_major_stretch_with_stability_ball,assisted seated pectoralis major stretch with stability ball,pectorals,shoulders,triceps,Sit on a stability ball with your feet flat on the ground and your back straight.,Hold a stability ball with both hands and extend your arms straight out in front of you.,"Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles.","Hold the stretch for a few seconds, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,assisted,1712_assisted_side_lying_adductor_stretch,assisted side lying adductor stretch,adductors,hamstrings,glutes,Lie on your side with your legs straight and stacked on top of each other.,Bend your bottom leg slightly for stability.,"Place your top foot on a stable surface, such as a bench or step.","Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh.",Hold the stretch for 20-30 seconds.,Return to the starting position and repeat on the other side.,,,,,,,,,
waist,assisted,1758_assisted_sit_up,assisted sit-up,abs,hip flexors,,Sit on the edge of a bench or have someone hold your feet down.,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
back,leverage machine,1431_assisted_standing_chin_up,assisted standing chin-up,lats,biceps,forearms,Adjust the machine to your desired assistance level.,"Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart.","Keep your chest up and shoulders back, engage your core, and slightly bend your knees.",Pull your body up by flexing your elbows and driving your elbows down towards your sides.,Continue pulling until your chin is above the bar.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
back,leverage machine,1432_assisted_standing_pull_up,assisted standing pull-up,lats,biceps,forearms,Adjust the machine to your desired weight and height settings.,Stand facing the machine with your feet shoulder-width apart.,"Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.","Engage your lats and biceps, and pull yourself up towards the handles.","Pause for a moment at the top, squeezing your back muscles.",Slowly lower yourself back down to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
upper arms,assisted,0018_assisted_standing_triceps_extension_with_towel,assisted standing triceps extension (with towel),triceps,shoulders,,Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.,Keep your elbows close to your ears and your upper arms stationary.,"Slowly extend your forearms upward, squeezing your triceps at the top.","Pause for a moment, then slowly lower the towel back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,leverage machine,0019_assisted_triceps_dip_kneeling,assisted triceps dip (kneeling),triceps,chest,shoulders,Adjust the machine to your desired weight and height.,"Kneel down on the pad facing the machine, with your hands gripping the handles.","Lower your body by bending your elbows, keeping your back straight and close to the machine.","Pause for a moment at the bottom, then push yourself back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,leverage machine,2364_assisted_wide_grip_chest_dip_kneeling,assisted wide-grip chest dip (kneeling),pectorals,triceps,shoulders,Adjust the machine to your desired height and secure your knees on the pad.,Grasp the handles with a wide grip and keep your elbows slightly bent.,Lower your body by bending your elbows until your upper arms are parallel to the floor.,Push yourself back up to the starting position by extending your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,
cardio,body weight,3220_astride_jumps_male,astride jumps (male),cardiovascular system,quadriceps,hamstrings,Stand with your feet shoulder-width apart.,Bend your knees and lower your body into a squat position.,"Jump explosively upwards, extending your legs and arms.","While in the air, spread your legs apart and bring your arms out to the sides.","Land softly with your feet shoulder-width apart, bending your knees to absorb the impact.",Repeat for the desired number of repetitions.,calves,,,,,,,,
cardio,body weight,3672_back_and_forth_step,back and forth step,cardiovascular system,quadriceps,hamstrings,Stand with your feet shoulder-width apart.,"Step forward with your right foot, bending your knee and lowering your body into a lunge position.",Push off with your right foot and step back to the starting position.,"Repeat the movement with your left foot, alternating legs with each step.","Continue stepping back and forth, maintaining a steady pace.",Repeat for the desired duration or number of repetitions.,glutes,,,calves,,,,,
back,stability ball,1314_back_extension_on_exercise_ball,back extension on exercise ball,spine,glutes,hamstrings,"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface.",Position your hands behind your head or crossed over your chest.,"Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,body weight,3297_back_lever,back lever,upper back,biceps,forearms,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart.",Engage your core and pull your shoulder blades down and back.,Bend your knees and tuck them towards your chest.,"Slowly lift your legs up, keeping them straight, until your body is parallel to the ground.","Hold this position for a few seconds, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,core,,,,,,,,
back,body weight,1405_back_pec_stretch,back pec stretch,lats,shoulders,chest,Stand tall with your feet shoulder-width apart.,"Extend your arms straight out in front of you, parallel to the ground.","Cross your arms in front of your body, with your right arm over your left arm.",Interlock your fingers and rotate your palms away from your body.,"Slowly raise your arms up and away from your body, feeling a stretch in your back and chest.","Hold the stretch for 15-30 seconds, then release.",,Repeat on the opposite side.,,,,,,,
upper legs,body weight,1473_backward_jump,backward jump,quads,hamstrings,glutes,Stand with your feet shoulder-width apart.,"Bend your knees slightly and jump backwards, pushing off with both feet.","Land softly on the balls of your feet, bending your knees to absorb the impact.",Repeat for the desired number of repetitions.,,,calves,,,,,,,,
upper legs,body weight,0020_balance_board,balance board,quads,calves,hamstrings,Place the balance board on a flat surface.,"Step onto the balance board with one foot, ensuring it is centered.","Slowly shift your weight onto the foot on the balance board, keeping your core engaged.",Maintain your balance and stability as you hold the position for a desired amount of time.,Repeat the exercise with the other foot.,,glutes,,,,,,,,
upper arms,band,0968_band_alternating_biceps_curl,band alternating biceps curl,biceps,forearms,,"Stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up.","Keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top.",Lower the arm back down to the starting position and repeat with the other arm.,Continue alternating arms for the desired number of repetitions.,,,,,,,,,,,
waist,band,0969_band_alternating_v_up,band alternating v-up,abs,hip flexors,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band.","Engage your abs and lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes.","As you lower your legs and upper body back down, switch the position of your legs, crossing one over the other.","Repeat the movement, alternating the position of your legs with each repetition.",Continue for the desired number of repetitions.,,,,,,,,,,
back,band,0970_band_assisted_pull_up,band assisted pull-up,lats,biceps,forearms,Attach the band to a pull-up bar or sturdy anchor point.,"Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart.","Hang with your arms fully extended, keeping your core engaged and your shoulders down and back.",Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips.,"Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,band,0971_band_assisted_wheel_rollerout,band assisted wheel rollerout,abs,lower back,,"Kneel on the floor and hold the handles of the band with both hands, palms facing down.",Place the band on the ground in front of you and position your hands shoulder-width apart.,"Engage your core and slowly roll the wheel forward, extending your body as far as you can while maintaining control.","Pause for a moment at the furthest point, then slowly roll the wheel back towards your knees to return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,band,1254_band_bench_press,band bench press,pectorals,triceps,shoulders,Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.,"Grasp the band handles with an overhand grip, slightly wider than shoulder-width apart.","Extend your arms fully, pushing the bands away from your chest.","Slowly lower the bands back down to your chest, keeping your elbows at a 90-degree angle.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,band,0980_band_bent_over_hip_extension,band bent-over hip extension,glutes,hamstrings,lower back,Attach the band to a sturdy anchor point at ankle height.,Stand facing away from the anchor point with your feet shoulder-width apart.,"Step back to create tension in the band, keeping your knees slightly bent.","Hinge at the hips and lean forward, maintaining a neutral spine.","Extend your right leg straight back, squeezing your glutes at the top.",Lower your right leg back down and repeat with the left leg.,,Continue alternating legs for the desired number of repetitions.,,,,,,,
waist,band,0972_band_bicycle_crunch,band bicycle crunch,abs,hip flexors,obliques,Lie flat on your back with your hands behind your head and your knees bent.,Lift your feet off the ground and bring your right knee towards your chest while simultaneously twisting your torso to bring your left elbow towards your right knee.,Straighten your right leg while bringing your left knee towards your chest and twisting your torso to bring your right elbow towards your left knee.,"Continue alternating the twisting motion, as if you are pedaling a bicycle, while keeping your core engaged throughout the movement.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,band,0974_band_close_grip_pulldown,band close-grip pulldown,lats,biceps,forearms,"Attach the band to a high anchor point, such as a pull-up bar or sturdy beam.","Stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart.","Step back to create tension in the band, keeping your feet hip-width apart.","Engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, then slowly release the band back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper arms,band,0975_band_close_grip_push_up,band close-grip push-up,triceps,chest,shoulders,"Place a band around your upper arms, just above the elbows.",Assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels.,"Bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides.",Push through your palms to extend your arms and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,band,0976_band_concentration_curl,band concentration curl,biceps,forearms,,Sit on a bench or chair with your legs spread apart and your feet flat on the ground.,Hold one end of the band in your hand and step on the other end with your foot on the same side.,"Lean forward slightly and rest your elbow on the inside of your thigh, just above the knee.","With your palm facing up, slowly curl your hand towards your shoulder, keeping your upper arm stationary.","Pause for a moment at the top, then slowly lower your hand back down to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
back,band,3117_band_fixed_back_close_grip_pulldown,band fixed back close grip pulldown,lats,biceps,forearms,"Attach the band to a fixed point above you, such as a pull-up bar or sturdy beam.","Sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent.","Grasp the band with a close grip, palms facing towards you.",Keep your back straight and engage your core.,"Pull the band down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, feeling the contraction in your lats.",,"Slowly release the band back to the starting position, maintaining control throughout the movement.",Repeat for the desired number of repetitions.,,,,,,
back,band,3116_band_fixed_back_underhand_pulldown,band fixed back underhand pulldown,lats,biceps,rhomboids,Attach the band to a sturdy anchor point above your head.,Stand facing the anchor point with your feet shoulder-width apart.,"Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart.","Step back to create tension in the band, keeping your arms fully extended.",Engage your core and squeeze your shoulder blades together.,"Pull the band down towards your chest, leading with your elbows.",rear deltoids,"Pause for a moment at the bottom of the movement, feeling the contraction in your lats.",Slowly release the tension in the band and return to the starting position.,,Repeat for the desired number of repetitions.,,,,
shoulders,band,0977_band_front_lateral_raise,band front lateral raise,delts,traps,upper back,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down.,Keep your arms straight and lift the band up in front of you until your arms are parallel to the ground.,"Pause for a moment at the top, then slowly lower the band back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
shoulders,band,0978_band_front_raise,band front raise,delts,triceps,upper back,Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down.,Keep your arms straight and slowly raise them forward until they are parallel to the ground.,"Pause for a moment at the top, then slowly lower your arms back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
upper legs,band,1408_band_hip_lift,band hip lift,glutes,hamstrings,quadriceps,Lie on your back with your knees bent and feet flat on the ground.,Place a resistance band just above your knees.,Engage your glutes and core muscles.,"Press your heels into the ground and lift your hips off the floor, squeezing your glutes at the top.","Pause for a moment at the top, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,band,0979_band_horizontal_pallof_press,band horizontal pallof press,abs,obliques,glutes,Attach the band to a sturdy anchor point at waist height.,Stand perpendicular to the anchor point with your feet shoulder-width apart.,Grasp the band handle with both hands and step away from the anchor point to create tension in the band.,"Bring your hands to your chest, keeping your elbows bent and close to your body.",Engage your core and maintain a stable stance.,"Extend your arms straight out in front of you, pushing the band away from your body.",,"Hold the extended position for a few seconds, focusing on maintaining tension in your core.","Slowly bring your hands back to your chest, resisting the pull of the band.",,Repeat for the desired number of repetitions.,,,,
waist,band,0981_band_jack_knife_sit_up,band jack knife sit-up,abs,hip flexors,,"Lie flat on your back with your legs straight and your arms extended overhead, holding the band.","Engage your abs and lift your legs and upper body simultaneously, bringing your hands towards your feet.","Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,,
back,band,0983_band_kneeling_one_arm_pulldown,band kneeling one arm pulldown,lats,biceps,rhomboids,Attach the band to a sturdy anchor point above your head.,"Kneel down and hold the band with one hand, palm facing down.","Extend your arm fully overhead, keeping your elbow slightly bent.","Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage.","Pause for a moment at the bottom, then slowly release the tension and return to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
waist,band,0985_band_kneeling_twisting_crunch,band kneeling twisting crunch,abs,obliques,,Attach the band to a sturdy anchor point at waist height.,"Kneel down facing away from the anchor point and hold the band with both hands, keeping your elbows bent and close to your sides.","Engage your abs and slowly twist your torso to one side, bringing your hands towards your opposite hip.","Pause for a moment, then slowly return to the starting position.",Repeat on the other side.,Continue alternating sides for the desired number of repetitions.,,,,,,,,,
upper legs,band,0984_band_lying_hip_internal_rotation,band lying hip internal rotation,glutes,hamstrings,quadriceps,Lie on your back with your legs straight and a resistance band looped around your feet.,"Bend your knees and bring them towards your chest, keeping your feet together.","Slowly rotate your knees outwards, away from each other, while keeping your feet together.","Pause for a moment at the end of the rotation, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,band,1002_band_lying_straight_leg_raise,band lying straight leg raise,abs,hip flexors,,Lie flat on your back with your legs straight and your feet together.,Place the band around the arches of your feet and hold the ends of the band with your hands.,"Engaging your abs, lift both legs off the ground until they are perpendicular to the floor.","Pause for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,band,0986_band_one_arm_overhead_biceps_curl,band one arm overhead biceps curl,biceps,forearms,shoulders,Stand with your feet shoulder-width apart and place one end of the band under your foot.,"Hold the other end of the band with your arm fully extended overhead, palm facing forward.","Keeping your upper arm stationary, curl your forearm towards your shoulder, squeezing your biceps.","Pause for a moment at the top, then slowly lower your forearm back to the starting position.","Repeat for the desired number of repetitions, then switch arms.",,,,,,,,,,
upper legs,band,0987_band_one_arm_single_leg_split_squat,band one arm single leg split squat,quads,glutes,hamstrings,Stand with your feet hip-width apart and place a resistance band around your ankles.,Extend one leg forward and rest the top of your foot on a bench or step behind you.,Hold onto a support with one hand for balance.,"Bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes.",Push through your heel to return to the starting position.,"Repeat for the desired number of repetitions, then switch legs.",,,,,,,,,
back,band,0988_band_one_arm_standing_low_row,band one arm standing low row,upper back,biceps,shoulders,Attach the band to a stable anchor point at waist height.,Stand facing the anchor point with your feet shoulder-width apart.,"Hold the band with one hand, palm facing inward, and step back to create tension in the band.","Bend your knees slightly and hinge forward at the hips, keeping your back straight.","Pull the band towards your waist, squeezing your shoulder blades together.","Pause for a moment at the top of the movement, then slowly release the band back to the starting position.",,"Repeat for the desired number of repetitions, then switch sides.",,,,,,,
chest,band,0989_band_one_arm_twisting_chest_press,band one arm twisting chest press,pectorals,shoulders,triceps,Attach the band to a sturdy anchor point at chest height.,Stand with your side facing the anchor point and grab the band with one hand.,Step away from the anchor point to create tension in the band.,Position your feet shoulder-width apart and slightly bend your knees.,"Bring your hand holding the band across your body, towards the opposite shoulder.","While maintaining tension in the band, push your hand forward and away from your body, extending your arm.",,Slowly return to the starting position and repeat for the desired number of repetitions.,Switch sides and repeat the exercise with the other hand.,,,,,,
back,band,0990_band_one_arm_twisting_seated_row,band one arm twisting seated row,upper back,biceps,shoulders,Sit on a bench or chair with your feet flat on the ground and your back straight.,Hold the band with one hand and extend your arm fully in front of you.,"Keeping your back straight, pull the band towards your body by bending your elbow and squeezing your shoulder blades together.","At the same time, twist your torso towards the side of the pulling arm.","Pause for a moment at the top, then slowly release the tension in the band and return to the starting position.","Repeat for the desired number of repetitions, then switch to the other arm.",,,,,,,,,
upper legs,band,0991_band_pull_through,band pull through,glutes,hamstrings,lower back,Attach a resistance band to a sturdy anchor point at ground level.,Stand facing away from the anchor point with your feet shoulder-width apart.,"Step forward to create tension in the band, keeping your knees slightly bent.","Hinge at the hips and push your glutes back, maintaining a slight bend in your knees.","Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings.",Drive your hips forward and squeeze your glutes to return to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
